gene_name	uniprot_id	uniprot_len	mane_uniprot_id	mane_uniprot_len	accession_agrees	mane_refseq_nuc	mane_refseq_prot	mane_ensembl	mane_prot_len	numbering_ok
NACA	Q13765	215	E9PAV3	2078	FALSE	NM_001365896.1	NP_001352825.1	ENST00000454682.6	2078	TRUE
NRXN2	P58401	666	Q9P2S2	1712	FALSE	NM_015080.4	NP_055895.1	ENST00000265459.11	1712	TRUE
NRXN1	P58400	472	Q9ULB1	1477	FALSE	NM_001330078.2	NP_001317007.1	ENST00000401669.7	1507	FALSE
ZNF689	C0HLU2	46	Q96CS4	500	FALSE	NM_138447.3	NP_612456.1	ENST00000287461.8	500	TRUE
ERCC6	P0DP91	1061	Q03468	1493	FALSE	NM_000124.4	NP_000115.1	ENST00000355832.10	1493	TRUE
MIEF1	L0R8F8	70	Q9NQG6	463	FALSE	NM_019008.6	NP_061881.2	ENST00000325301.7	463	TRUE
AKAP7	O43687	104	Q9P0M2	348	FALSE	NM_016377.4	NP_057461.2	ENST00000431975.7	348	TRUE
TMPO	P42166	694	P42167	454	FALSE	NM_001032283.3	NP_001027454.1	ENST00000556029.6	454	TRUE
ZNF365	Q70YC4	216	Q70YC5	407	FALSE	NM_014951.3	NP_055766.2	ENST00000395254.8	407	TRUE
GNAS	O95467	245	P63092	394	FALSE	NM_000516.7	NP_000507.1	ENST00000371085.8	394	TRUE
DDIT3	P0DPQ6	34	P35638	169	FALSE	NM_004083.6	NP_004074.2	ENST00000346473.8	169	TRUE
TOR2A	Q8N2E6	242	Q5JU69	321	FALSE	NM_001085347.3	NP_001078816.2	ENST00000373284.10	321	TRUE
BBC3	Q96PG8	261	Q9BXH1	193	FALSE	NM_014417.5	NP_055232.1	ENST00000439096.3	193	TRUE
RAB34	P0DI83	198	Q9BZG1	259	FALSE	NM_031934.6	NP_114140.4	ENST00000395245.9	259	TRUE
RPL36	C0HME6	148	Q9Y3U8	105	FALSE	NM_033643.3	NP_378669.1	ENST00000347512.8	105	TRUE
