gene_name	uniprot_id	uniprot_len	mane_uniprot_id	mane_uniprot_len	accession_agrees	mane_refseq_nuc	mane_refseq_prot	mane_ensembl	mane_prot_len	numbering_ok
IGFN1	Q86VF2	1251	Q86VF2	1251	TRUE	NM_001164586.2	NP_001158058.1	ENST00000335211.9	3708	FALSE
TTN	Q8WZ42	34350	Q8WZ42	34350	TRUE	NM_001267550.2	NP_001254479.2	ENST00000589042.5	35991	FALSE
LCOR	Q96JN0	433	Q96JN0	433	TRUE	NM_001346516.2	NP_001333445.1	ENST00000421806.4	1557	FALSE
OBSCN	Q5VST9	7968	Q5VST9	7968	TRUE	NM_001386125.1	NP_001373054.1	ENST00000680850.1	8925	FALSE
MICAL2	O94851	1957	O94851	1957	TRUE	NM_001282663.2	NP_001269592.1	ENST00000683283.1	1124	FALSE
SPATA13	Q96N96	652	Q96N96	652	TRUE	NM_001166271.3	NP_001159743.1	ENST00000382108.8	1277	FALSE
CPEB2	Q7Z5Q1	589	Q7Z5Q1	589	TRUE	NM_001177382.2	NP_001170853.1	ENST00000538197.7	1034	FALSE
IGSF22	Q8N9C0	903	Q8N9C0	903	TRUE	NM_173588.4	NP_775859.4	ENST00000513874.6	1326	FALSE
NEDD4	P46934	1319	P46934	1319	TRUE	NM_006154.4	NP_006145.2	ENST00000435532.8	900	FALSE
COL18A1	P39060	1754	P39060	1754	TRUE	NM_001379500.1	NP_001366429.1	ENST00000651438.1	1339	FALSE
EEF1D	P29692	281	P29692	281	TRUE	NM_001130053.5	NP_001123525.3	ENST00000618139.4	647	FALSE
NDUFV3	P56181	108	P56181	108	TRUE	NM_021075.4	NP_066553.3	ENST00000354250.7	473	FALSE
USH1C	Q9Y6N9	552	Q9Y6N9	552	TRUE	NM_153676.4	NP_710142.1	ENST00000005226.12	899	FALSE
ZSWIM9	Q86XI8	627	Q86XI8	627	TRUE	NM_199341.4	NP_955373.3	ENST00000614654.2	920	FALSE
MROH9	Q5TGP6	573	Q5TGP6	573	TRUE	NM_001163629.2	NP_001157101.1	ENST00000367759.9	861	FALSE
SYT7	O43581	403	O43581	403	TRUE	NM_001365809.2	NP_001352738.1	ENST00000539008.6	686	FALSE
MARCHF8	Q5T0T0	291	Q5T0T0	291	TRUE	NM_001282866.2	NP_001269795.1	ENST00000453424.7	573	FALSE
PPP1R9A	Q9ULJ8	1098	Q9ULJ8	1098	TRUE	NM_001166160.2	NP_001159632.1	ENST00000433360.6	1374	FALSE
SYNJ1	O43426	1573	O43426	1573	TRUE	NM_203446.3	NP_982271.3	ENST00000674351.1	1311	FALSE
PALLD	Q8WX93	1383	Q8WX93	1383	TRUE	NM_001166108.2	NP_001159580.1	ENST00000505667.6	1123	FALSE
POM121C	A8CG34	1229	A8CG34	1229	TRUE	NM_001099415.3	NP_001092885.2	ENST00000615331.5	987	FALSE
FGA	P02671	866	P02671	866	TRUE	NM_021871.4	NP_068657.1	ENST00000403106.8	644	FALSE
PTPRB	P23467	1997	P23467	1997	TRUE	NM_001109754.4	NP_001103224.1	ENST00000334414.11	2215	FALSE
PCDH15	Q96QU1	1955	Q96QU1	1955	TRUE	NM_001384140.1	NP_001371069.1	ENST00000644397.2	1740	FALSE
CCSER2	Q9H7U1	834	Q9H7U1	834	TRUE	NM_001284240.2	NP_001271169.1	ENST00000372088.8	1047	FALSE
JAKMIP1	Q96N16	626	Q96N16	626	TRUE	NM_001099433.2	NP_001092903.1	ENST00000409021.9	831	FALSE
CCDC33	Q8N5R6	958	Q8N5R6	958	TRUE	NM_025055.5	NP_079331.3	ENST00000398814.8	755	FALSE
FHOD3	Q2V2M9	1422	Q2V2M9	1422	TRUE	NM_001281740.3	NP_001268669.1	ENST00000590592.6	1622	FALSE
SPTB	P11277	2137	P11277	2137	TRUE	NM_001355436.2	NP_001342365.1	ENST00000644917.1	2328	FALSE
MCC	P23508	829	P23508	829	TRUE	NM_001085377.2	NP_001078846.2	ENST00000408903.7	1019	FALSE
IQCN	Q9H0B3	1180	Q9H0B3	1180	TRUE	NM_001145304.2	NP_001138776.1	ENST00000392413.5	1367	FALSE
C1orf159	Q96HA4	380	Q96HA4	380	TRUE	NM_017891.5	NP_060361.4	ENST00000421241.7	198	FALSE
C6orf136	Q5SQH8	315	Q5SQH8	315	TRUE	NM_001161376.2	NP_001154848.1	ENST00000651131.1	496	FALSE
PIGQ	Q9BRB3	760	Q9BRB3	760	TRUE	NM_004204.5	NP_004195.2	ENST00000321878.10	581	FALSE
PCDH1	Q08174	1060	Q08174	1060	TRUE	NM_032420.5	NP_115796.2	ENST00000287008.8	1237	FALSE
CCDC50	Q8IVM0	306	Q8IVM0	306	TRUE	NM_178335.3	NP_848018.1	ENST00000392455.9	482	FALSE
FAM107B	Q9H098	131	Q9H098	131	TRUE	NM_031453.4	NP_113641.2	ENST00000181796.7	306	FALSE
XIRP2	A4UGR9	3374	A4UGR9	3374	TRUE	NM_152381.6	NP_689594.4	ENST00000409195.6	3549	FALSE
LRRFIP1	Q32MZ4	808	Q32MZ4	808	TRUE	NM_001137550.2	NP_001131022.1	ENST00000308482.14	640	FALSE
SYNPO2	Q9UMS6	1093	Q9UMS6	1093	TRUE	NM_133477.3	NP_597734.2	ENST00000307142.9	1261	FALSE
PLEKHA5	Q9HAU0	1116	Q9HAU0	1116	TRUE	NM_001256470.2	NP_001243399.1	ENST00000429027.7	1282	FALSE
TBC1D30	Q9Y2I9	924	Q9Y2I9	924	TRUE	NM_015279.2	NP_056094.1	ENST00000539867.6	761	FALSE
CRNKL1	Q9BZJ0	848	Q9BZJ0	848	TRUE	NM_001278628.2	NP_001265557.1	ENST00000536226.2	687	FALSE
